f3,f4,f6,f9,f10,f15,f16,f17,f18,f19,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,duration_min,hour,day_of_week,season,f1_Source1,f1_Source2,f1_Source3,f12_US/Central,f12_US/Eastern,f12_US/Mountain,f12_US/Pacific,y
-0.15,-0.16,-0.33,387,738,-2.07,-1.13,0.34,3402,2.47,321,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,0.91,1.33,-1.45,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,3
0.88,1.13,0.98,16,1220,-1.05,0.29,0.34,2317,-0.8,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.54,-1.44,0.33,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
1.88,-1.68,-0.29,21,1583,0.71,0.54,0.34,2516,-0.8,727,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,1.1,1.33,1.22,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
-1.29,-0.21,-0.33,342,5086,0.18,-0.27,0.34,2907,-0.29,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.11,-1.44,-1.45,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.0,0.46,-0.24,870,1488,-1.71,-0.09,0.34,2364,0.06,23036,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,6.06,-0.03,2.4,-0.03,0.91,-0.88,0.33,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
-1.28,-0.05,-0.31,1616,5086,0.44,0.65,0.34,2341,0.06,7121,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-1.3,-1.44,0.33,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
2.17,-1.59,-0.33,161,960,-0.26,0.54,0.34,999,-0.92,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.56,-0.88,0.33,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,3
-1.29,-0.22,-0.33,342,5086,0.8,0.69,0.34,1340,-0.13,204,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-0.93,-0.33,0.33,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.47,0.59,-0.33,487,1476,-0.44,-0.61,0.34,3415,0.06,23036,-0.02,-0.36,-0.07,3.53,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.73,1.33,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,3
-0.38,0.88,-0.33,557,3372,0.49,0.33,-0.78,961,-0.72,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.3,-1.44,-1.45,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
1.87,-1.53,0.11,4,960,-1.1,0.52,0.34,2317,-0.11,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,-0.01,1.33,-1.45,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
-0.27,0.71,-0.33,470,3372,-1.76,-0.32,0.34,3415,0.06,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,0.91,0.78,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
1.74,0.09,2.55,215,1770,-1.01,-0.76,0.34,3749,1.78,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.73,-0.88,0.33,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
0.19,-1.57,-0.33,610,15346,0.8,0.27,0.34,2650,1.26,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.74,-0.33,1.22,-1.12,-0.87,8.76,-0.52,-0.93,-0.24,1.65,2
-0.18,0.8,-0.19,1367,3093,0.49,-0.23,0.34,2650,-0.29,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,1.65,-1.44,-0.56,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
1.35,1.2,-0.33,46,3053,-0.04,0.2,2.21,3402,0.92,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.05,0.18,0.22,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.18,0.29,-0.33,179,1488,0.71,0.16,0.34,2743,1.78,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.74,0.78,-1.45,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,3
-0.01,0.46,-0.33,870,1488,-0.92,0.32,0.34,3175,1.66,9013,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-0.19,-1.44,1.22,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
0.7,0.61,-0.33,1220,1056,1.55,-0.37,0.34,2319,-0.8,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-0.93,-0.88,-1.45,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-1.6,0.71,-0.33,502,7818,1.28,0.31,0.34,3415,-0.29,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.66,-1.44,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,3
-0.66,-0.12,-0.33,1410,5086,1.11,-0.18,0.34,3067,-0.29,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-1.48,-0.88,0.33,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
1.12,0.41,-0.33,543,1460,0.4,0.51,0.34,3282,-0.53,6441,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-1.11,-0.88,-0.56,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.11,-0.16,-0.33,387,738,0.27,-0.73,0.34,3175,0.23,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-1.3,-0.88,0.33,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.77,-0.69,0.21,2,105,0.0,-4.01,0.34,3402,0.4,9013,-0.02,-0.36,-0.07,3.53,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.93,1.89,-0.56,0.9,-0.87,-0.11,-0.52,-0.93,4.19,-0.61,2
-0.64,-0.12,-0.33,1410,5086,-1.05,-0.17,0.34,8869,-1.32,6441,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,0.73,-1.44,-0.56,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.18,0.81,-0.33,1367,3093,0.97,-0.23,-1.16,8869,-1.32,3144,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,0.73,-0.88,-1.45,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
0.47,-1.54,0.39,841,15346,-1.18,0.2,-1.16,3749,0.06,692,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.36,0.78,-0.56,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
0.3,-1.5,-0.32,164,15346,-1.93,0.14,0.34,3282,1.09,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,0.54,0.78,-0.56,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
-1.12,0.21,-0.01,690,1371,-1.32,0.64,0.34,3067,-0.29,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,0.01,0.36,0.78,1.22,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.65,-0.13,-0.33,277,5086,-1.71,0.17,0.34,2743,0.06,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.36,1.33,0.33,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.2,0.8,-0.33,1367,3093,0.97,-0.28,0.34,3402,-0.8,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,1.46,0.78,-0.56,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,1
0.38,-1.53,0.07,292,15346,-1.36,0.28,-0.78,8869,-1.32,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.01,1.33,-0.56,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
-0.39,-1.36,0.67,4635,15346,-1.05,-0.57,0.34,3749,0.23,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.54,1.33,-0.56,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
1.2,0.39,-0.3,459,1460,-0.08,-0.5,0.34,3175,0.75,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.38,-0.88,-0.56,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
1.02,1.21,-0.33,344,3053,0.22,-0.28,0.34,2743,-0.29,9013,-0.02,-0.36,-0.07,3.53,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.74,-0.88,-0.56,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
0.54,1.02,-0.23,158,160,-0.22,0.25,0.34,3175,-0.29,23036,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,0.02,-1.48,0.78,-1.45,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-1.49,0.77,-0.32,2186,7818,-0.96,0.6,0.34,2341,0.08,7266,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-0.38,0.22,0.33,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
1.06,1.2,-0.33,86,3053,-1.23,0.49,0.34,1548,0.87,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,0.54,-0.88,0.33,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.46,-1.34,0.14,2186,15346,0.49,0.43,0.34,3333,0.0,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,2.02,-0.88,-0.56,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,3
0.9,1.23,-0.32,302,3053,-0.44,0.37,0.34,3175,1.26,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.01,0.22,-1.45,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
0.7,-0.58,0.52,146,762,0.05,0.55,0.34,3422,-0.13,6441,-0.02,-0.36,-0.07,-0.28,19.17,-0.01,-0.16,-0.03,-0.42,-0.03,-1.3,-1.44,-0.56,-1.12,1.15,-0.11,-0.52,-0.93,4.19,-0.61,3
-0.68,-0.11,-0.32,1410,5086,-1.23,0.45,0.34,1340,0.0,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.73,-0.88,-1.45,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
-1.32,-0.23,-0.33,342,5086,1.02,-0.32,0.34,2319,0.75,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.11,-1.44,0.33,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
0.93,1.25,-0.33,302,3053,-1.49,0.35,0.34,3415,1.78,23036,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-0.38,-0.88,-1.45,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,3
0.98,0.92,0.41,36,2620,0.8,-1.41,0.34,2516,-0.46,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.93,-0.88,-0.56,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
0.81,0.84,-0.33,336,2620,-0.39,0.54,0.34,3175,0.47,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,0.54,0.78,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-2.05,0.82,1.17,2298,7818,-0.3,0.34,0.34,2516,1.26,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,0.73,0.22,-1.45,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
0.16,0.86,-0.13,10,2633,0.62,-0.82,0.34,8869,-1.32,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,-0.74,0.78,0.33,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
0.81,1.12,-0.28,1220,2620,0.36,0.14,0.34,3402,0.06,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.01,1.89,-0.56,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-1.5,0.77,0.65,2186,7818,1.24,0.32,0.34,3402,0.06,3144,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.38,1.33,-0.56,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-1.16,0.16,-0.33,116,1371,1.37,0.49,0.34,2364,-0.46,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.3,0.78,-0.56,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,3
0.25,-1.58,-0.33,610,15346,0.18,0.3,0.34,2907,1.61,23036,-0.02,-0.36,-0.07,3.53,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.73,-0.33,0.33,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
-0.38,-1.4,-0.32,192,15346,0.8,0.57,0.34,3333,0.0,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.85,-0.88,0.33,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,2
-0.08,0.93,-0.1,1123,3093,-0.83,0.63,0.34,1340,0.0,1885,-0.02,-0.36,-0.07,3.53,-0.05,-0.01,-0.16,-0.03,-0.42,-0.01,0.36,-0.88,-0.56,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,4
-0.08,0.67,-0.33,25,3093,0.14,-1.62,0.34,2907,0.92,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,0.02,-1.48,0.78,-0.56,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.24,0.71,-0.33,470,3372,1.24,0.55,0.34,2364,2.25,3473,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.36,-1.44,-1.45,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
0.59,0.59,-0.33,330,1056,0.4,-0.09,0.34,3175,1.09,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,1.28,0.22,0.33,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,3
-0.47,0.59,-0.07,487,1476,0.8,-0.42,-0.41,8869,-1.32,154,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.48,1.33,-1.45,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-1.15,0.75,-0.33,377,7818,1.37,0.55,-3.22,3422,-0.32,909,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-1.11,-0.33,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,3
-0.71,0.05,0.46,165,1371,1.06,0.14,0.34,8869,-1.32,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.66,1.89,1.22,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.58,0.41,-0.3,97,885,-0.04,0.32,0.34,3402,0.23,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.36,-0.33,-1.45,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
2.17,-1.6,-0.11,161,960,1.55,0.16,-2.65,8869,-1.32,909,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.93,-0.88,1.22,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,2
0.91,1.17,-0.18,234,1220,-0.92,0.47,0.34,2317,-0.11,7121,-0.02,-0.36,14.73,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,-0.56,0.22,1.22,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-1.59,0.71,-0.33,502,7818,1.28,0.45,0.34,3422,-0.8,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.93,-0.88,-0.56,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
0.88,1.18,0.13,215,1220,0.89,0.49,-1.91,2516,-0.11,1117,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,1.28,1.89,1.22,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.18,0.8,-0.33,1367,3093,-0.66,-0.36,0.34,3162,-0.11,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.73,0.22,-0.56,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-2.01,0.84,-0.29,2298,7818,0.71,0.52,0.34,2650,-0.29,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.73,1.33,1.22,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-1.97,0.84,-0.33,470,7818,0.84,0.6,0.34,2743,-0.29,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-0.74,0.78,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
0.9,1.21,-0.1,237,3053,0.18,0.6,0.34,2364,0.75,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,0.91,-0.88,-1.45,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-1.17,-0.18,-0.33,903,5086,-0.48,0.6,0.34,2907,-0.32,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.11,-1.44,1.22,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.53,-1.29,-0.26,791,15346,0.05,-1.05,0.34,8869,-1.32,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-2.03,1.89,0.33,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
-0.76,0.48,-0.33,1220,885,-0.79,0.39,0.34,3282,-0.29,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.01,-0.88,1.22,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
0.3,-1.55,-0.33,875,15346,1.37,-0.03,0.34,8869,-1.32,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.3,0.22,-1.45,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,1
0.01,-1.41,-0.33,127,15346,0.93,0.34,0.34,8869,-1.32,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.91,-0.33,1.22,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,2
-2.05,0.82,-0.29,2298,7818,-0.22,0.64,0.34,2516,0.92,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.38,0.22,1.22,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.56,-1.31,-0.32,908,15346,1.24,0.33,-2.95,1614,-0.72,727,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.73,1.89,-1.45,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,3
0.99,0.84,-0.33,66,2620,1.11,-0.76,0.34,2907,-0.29,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.48,0.78,-0.56,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,3
0.58,-0.5,24.97,50,762,-1.76,-5.53,0.34,2743,4.37,321,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.19,-0.88,-1.45,0.9,-0.87,-0.11,-0.52,-0.93,4.19,-0.61,4
-0.07,0.92,-0.32,1123,3093,0.8,0.1,-0.03,2317,-0.8,7121,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.01,0.78,-1.45,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-1.09,0.38,1.35,88,885,1.24,0.23,-1.16,2319,1.44,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.93,-0.33,1.22,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
0.56,0.0,-0.33,143,176,0.0,-0.13,0.34,2907,0.4,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.91,-0.33,1.22,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,3
-2.02,0.84,-0.23,2298,7818,0.8,0.63,0.34,2743,-0.29,23036,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.02,-0.93,-0.88,1.22,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.0,0.45,-0.33,870,1488,0.93,0.06,-3.03,8869,-1.32,909,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.93,-0.88,0.33,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
0.32,-1.58,0.07,875,15346,0.84,0.51,0.34,3175,0.06,7121,-0.02,-0.36,-0.07,3.53,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.3,0.78,0.33,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
0.35,-1.56,-0.32,443,15346,0.31,0.51,0.34,3162,0.47,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,1.28,-1.44,0.33,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,3
0.81,1.02,0.03,80,2620,0.75,-0.16,-1.91,2319,0.75,3144,-0.02,-0.36,-0.07,3.53,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,-0.93,0.22,-1.45,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.43,-1.3,-0.33,791,15346,0.8,-0.41,0.34,2364,-0.8,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.11,-0.88,0.33,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,2
0.7,1.12,-0.19,47,1220,-1.01,0.27,0.34,3415,1.06,1885,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.01,0.36,0.22,-1.45,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
0.68,-1.15,0.32,6,177,-2.07,-5.7,0.34,3175,-0.29,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,0.07,0.73,1.33,0.33,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
-1.09,-0.17,-0.33,70,5086,-1.05,0.45,0.34,2650,-0.32,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.73,0.78,-0.56,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,3
-0.27,0.72,-0.33,470,3372,-0.35,-0.51,0.34,2516,-0.11,7121,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.18,-0.33,0.33,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.5,0.59,-0.32,71,1476,0.97,0.33,0.34,3422,-0.32,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,1.65,0.78,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,3
-1.97,0.83,-0.33,470,7818,-0.44,0.61,0.34,2516,0.75,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.36,0.22,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
0.69,0.5,0.28,557,589,-0.57,-0.03,0.34,8869,-1.32,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.36,-1.44,1.22,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
0.53,1.0,0.1,355,2633,0.71,0.32,0.34,8869,-1.32,6441,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.02,1.46,-0.88,0.33,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.44,-1.35,-0.12,4635,15346,-1.58,0.54,0.34,8869,-1.32,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.19,-0.33,0.33,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
0.68,-0.65,5.03,59,762,0.36,-8.87,0.34,2341,0.4,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,-1.85,-0.33,-1.45,0.9,-0.87,-0.11,-0.52,-0.93,4.19,-0.61,2
-2.05,0.83,-0.25,2298,7818,-0.26,0.41,0.34,2650,0.06,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,0.54,1.33,-1.45,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
